id,shap_B11,shap_B12,shap_B2,shap_B3,shap_B4,shap_B5,shap_B6,shap_B8,shap_BSI,shap_BSI_Mean,shap_Clay_Ratio,shap_Iron_Ratio,shap_MNDWI,shap_MNDWI_Variance,shap_NDTI,shap_NDVI,shap_NDVI_Entropy,shap_NDVI_Variance,shap_NDWI,shap_dist_to_road_km
11,0.29411447,-0.016955923,-0.3225377,-1.3922096,0.014397489,-0.24215129,0.40276736,0.16413653,0.022360299,-0.027437603,0.20734741,0.20090929,-0.09026424,0.084232345,0.03358622,-0.7201316,-0.14421764,0.30695185,-0.14138496,-0.26792458
12,0.33061033,0.014821877,-0.3352488,-1.3582276,0.023167359,-0.20969284,0.41806084,0.19300628,-0.38552085,-0.080791764,0.14606902,0.044172008,-0.10979586,0.073130436,0.07122474,-0.5583263,-0.13481188,0.3203155,-0.5521151,-0.24304914
13,0.31652677,-0.00040991232,-0.32619438,-1.3678025,0.043240335,-0.23559809,0.40527627,0.19999331,-0.014766177,-0.047555543,0.18848331,0.19476993,-0.36033183,0.09778402,0.06813415,-0.71410745,-0.14125778,0.3447717,-0.56388295,-0.2876087
14,0.30405217,-0.045854848,-0.32765922,-1.3945469,0.008447839,-0.24527335,0.38180068,0.1548485,0.172301,0.019132316,0.12928176,0.19425009,-0.17420794,0.09068441,0.010883091,-1.0521547,-0.14544892,0.28919286,0.03780322,-0.25911084
15,0.26626801,-0.09625986,-0.42094478,-1.4641205,-0.04348306,-0.22792482,0.3829409,0.11331331,0.119357415,0.055789836,0.7899494,0.22884764,0.22914708,0.016436804,0.26157758,0.33262783,-0.15617009,0.19963579,0.08232241,0.85989034
16,0.2947494,-0.06774125,-0.44592148,-1.4853345,-0.057949726,-0.21919411,0.39385146,0.13870102,0.13724658,0.0074725845,0.48869348,-0.2847278,0.09622626,0.0153314285,0.11925599,0.3821456,-0.15461503,0.197032,0.10010549,0.90817976
17,0.29265314,-0.06425881,-0.40007356,-1.4800535,-0.054107007,-0.23146662,0.3976204,0.13792673,0.038143713,0.07192258,0.25972027,0.079729185,0.18878561,0.03281109,0.02294021,0.37720355,-0.15017009,0.20906971,0.053515263,0.85198116
18,0.28414643,-0.016203254,-0.33640286,-1.4025391,0.011739204,-0.2226949,0.37138158,0.15155682,0.31795493,0.07749716,-0.03037522,0.062684834,0.13474326,0.12776636,0.021542395,-0.6602509,-0.15442263,0.36368543,-0.104050905,0.7393841
19,0.28665498,-0.0020682998,-0.35417786,-1.385532,0.011393264,-0.22713137,0.338446,0.17839152,-0.0034620892,-0.054353416,-0.14650719,0.19901404,-0.20562376,0.09960445,-0.041302748,-0.51296407,-0.1511948,0.3487191,-0.5212909,0.6443243
20,0.28009537,0.004976283,-0.34568417,-1.3933061,0.017836342,-0.21808809,0.34818482,0.17687657,0.21732834,-0.037209265,-0.3314665,0.1616376,-0.31987077,0.12021344,-0.18865395,-0.5028959,-0.14325814,0.3186781,-0.62732667,0.64405614
21,0.30161965,-0.039674018,-0.32026812,-1.400355,0.03808577,-0.24161541,0.40643975,0.16945466,0.15506196,-0.05186923,0.1726527,0.20464766,-0.38410896,0.10889851,0.0669603,-1.0837249,-0.14309408,0.32447767,-0.1381379,-0.29039273
22,0.29767817,-0.039674018,-0.32026812,-1.3901194,0.03808577,-0.24314925,0.39886284,0.1534962,0.19140819,0.00084097125,0.17867982,0.2820576,-0.38410896,0.10889851,0.070979364,-1.0837249,-0.14309408,0.31562996,-0.12467479,-0.29039273
23,0.30361557,0.0033977851,-0.3436361,-1.3642322,0.03934622,-0.24288037,0.34949455,0.16782963,-0.017118515,-0.11787987,-0.2815354,0.19912364,-0.36856318,0.09792251,-0.1160012,-0.56189936,-0.14831546,0.3501587,-0.65056103,-0.287421
24,0.3218598,-0.0043452308,-0.3298451,-1.353741,0.04633191,-0.24437457,0.37398016,0.1814923,-0.07329432,-0.15164769,-0.19385262,0.23917156,-0.3523754,-0.26526466,-0.06629388,-0.6079113,-0.16643287,0.36278486,-0.672777,-0.29886803
25,0.32362822,-0.0020242296,-0.33339256,-1.3582791,0.050056737,-0.24500597,0.37309426,0.18209162,-0.06281115,-0.13617317,-0.40187967,0.1829036,-0.34662122,-0.2501035,-0.22324593,-0.7557041,-0.16871549,0.36385044,-0.5705201,-0.29863045
26,0.35331258,-0.01243709,-0.31992963,-1.3517755,0.048653018,-0.2542904,0.376077,0.18981919,-0.024807326,-0.13036777,-0.1905499,0.19385327,-0.36877578,-0.38839388,-0.08931781,-0.75720894,-0.16242248,0.28552303,-0.5585452,-0.29365605
27,0.3229548,-0.005385069,-0.31102997,-1.3395442,0.01809268,-0.25431752,0.36339542,0.19383267,-0.025723957,-0.11373001,-1.2074108,0.2388179,-0.33370268,-0.36324012,-0.36925253,-0.6537226,-0.16590849,0.2781371,-0.7098538,-0.25597352
28,0.3229548,-0.006442756,-0.31102997,-1.3415478,0.021263631,-0.2562308,0.3673319,0.1945154,-0.06687407,-0.11373001,-1.1988053,0.22682004,-0.33370268,-0.36459,-0.37858823,-0.63664216,-0.17209543,0.4576974,-0.66179496,-0.26270273
29,0.31656232,-0.008514712,-0.32762945,-1.352276,0.042067144,-0.24782658,0.3702834,0.17401591,-0.053004693,-0.15525661,-0.5844719,0.26122522,-0.348271,-0.19698936,-0.31283578,-0.7563835,-0.16436282,0.34091473,-0.65276164,-0.29098195
30,0.31282774,0.011819424,-0.3576337,-1.3399614,-0.022141764,-0.21993762,0.36521512,0.19751126,0.036732145,0.04724063,-1.2024488,-0.26952255,-0.3138603,0.056779385,-0.36745974,-0.6112047,-0.12683605,0.26012844,-0.7500056,0.61739564
31,0.3143576,0.008868462,-0.3539065,-1.3611914,-0.010412052,-0.22227031,0.3586347,0.19647282,-0.05832101,0.030238338,-1.2642634,-0.09592907,-0.3174903,0.06984677,-0.38203034,-0.57510597,-0.12683605,0.2620991,-0.76008016,0.63370454
